"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006","Newfoundland and Labrador","2016A000210","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412331","3.4.1","40900","B","","","0"
"2007","Newfoundland and Labrador","2016A000210","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412331","3.4.1","41700","B","","","0"
"2008","Newfoundland and Labrador","2016A000210","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412331","3.4.1","41000","B","","","0"
"2009","Newfoundland and Labrador","2016A000210","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412331","3.4.1","41400","B","","","0"
"2010","Newfoundland and Labrador","2016A000210","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412331","3.4.1","41500","B","","","0"
"2011","Newfoundland and Labrador","2016A000210","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412331","3.4.1","45500","B","","","0"
"2012","Newfoundland and Labrador","2016A000210","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412331","3.4.1","48200","C","","","0"
"2013","Newfoundland and Labrador","2016A000210","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412331","3.4.1","53800","C","","","0"
"2014","Newfoundland and Labrador","2016A000210","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412331","3.4.1","55400","C","","","0"
"2015","Newfoundland and Labrador","2016A000210","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412331","3.4.1","49800","B","","","0"
"2016","Newfoundland and Labrador","2016A000210","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412331","3.4.1","50700","B","","","0"
"2017","Newfoundland and Labrador","2016A000210","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412331","3.4.1","46300","B","","","0"
"2018","Newfoundland and Labrador","2016A000210","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412331","3.4.1","48200","B","","","0"
"2019","Newfoundland and Labrador","2016A000210","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412331","3.4.1","48400","C","","","0"
"2020","Newfoundland and Labrador","2016A000210","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412331","3.4.1","45000","B","","","0"
"2021","Newfoundland and Labrador","2016A000210","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412331","3.4.1","47600","B","","","0"
"2006","Newfoundland and Labrador","2016A000210","Median market income","Economic families","2021 constant dollars","429","units","0","v96412332","3.4.2","50600","B","","","0"
"2007","Newfoundland and Labrador","2016A000210","Median market income","Economic families","2021 constant dollars","429","units","0","v96412332","3.4.2","56600","C","","","0"
"2008","Newfoundland and Labrador","2016A000210","Median market income","Economic families","2021 constant dollars","429","units","0","v96412332","3.4.2","57400","C","","","0"
"2009","Newfoundland and Labrador","2016A000210","Median market income","Economic families","2021 constant dollars","429","units","0","v96412332","3.4.2","55600","C","","","0"
"2010","Newfoundland and Labrador","2016A000210","Median market income","Economic families","2021 constant dollars","429","units","0","v96412332","3.4.2","58100","C","","","0"
"2011","Newfoundland and Labrador","2016A000210","Median market income","Economic families","2021 constant dollars","429","units","0","v96412332","3.4.2","63600","C","","","0"
"2012","Newfoundland and Labrador","2016A000210","Median market income","Economic families","2021 constant dollars","429","units","0","v96412332","3.4.2","67500","C","","","0"
