"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006","Prairie provinces","2016A00014","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413771","9.4.1","62900","A","","","0"
"2007","Prairie provinces","2016A00014","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413771","9.4.1","66200","A","","","0"
"2008","Prairie provinces","2016A00014","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413771","9.4.1","71400","A","","","0"
"2009","Prairie provinces","2016A00014","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413771","9.4.1","69400","A","","","0"
"2010","Prairie provinces","2016A00014","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413771","9.4.1","68300","A","","","0"
"2011","Prairie provinces","2016A00014","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413771","9.4.1","69100","A","","","0"
"2012","Prairie provinces","2016A00014","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413771","9.4.1","74000","A","","","0"
"2013","Prairie provinces","2016A00014","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413771","9.4.1","75500","A","","","0"
"2014","Prairie provinces","2016A00014","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413771","9.4.1","78900","A","","","0"
"2015","Prairie provinces","2016A00014","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413771","9.4.1","76100","A","","","0"
"2016","Prairie provinces","2016A00014","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413771","9.4.1","72500","A","","","0"
"2017","Prairie provinces","2016A00014","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413771","9.4.1","71500","A","","","0"
"2018","Prairie provinces","2016A00014","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413771","9.4.1","71800","A","","","0"
"2019","Prairie provinces","2016A00014","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413771","9.4.1","69500","A","","","0"
"2020","Prairie provinces","2016A00014","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413771","9.4.1","65500","A","","","0"
"2021","Prairie provinces","2016A00014","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413771","9.4.1","69200","A","","","0"
